"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-13.wbbasket.ru/vol1967/part196781/196781523/images/c246x328/1.webp";"Восстанавливающий крем вокруг глаз с нони и пептидами";196781523;"НМ";0;"0";0;0;0;"0";2000;44;1108;1085;"0";"0";0;213;0
"https://basket-15.wbbasket.ru/vol2246/part224637/224637363/images/c246x328/1.webp";"Тонер кремовый  Dual Barrier Creamy Toner";224637363;"ИП Dibo";0;"0";0;0;0;"0";2300;29;1622;1589;"0";"0";0;256;0
"https://basket-17.wbbasket.ru/vol2790/part279019/279019683/images/c246x328/1.webp";"Крем для лица с церамидами Dual Barrier Skin Wearable Cream";279019683;"ООО Добрый Вечер";0;"0";0;0;0;"0";8229;43;4631;4538;"0";"0";0;41;0
"https://basket-17.wbbasket.ru/vol2821/part282180/282180843/images/c246x328/1.webp";"Пенка Derma Nature Relief Madecica pH Balancing Foam, 150 мл";282180843;"Тамерлан";0;"0";0;0;0;"0";1300;34;851;833;"4,5";"0";4;77;0
"https://basket-14.wbbasket.ru/vol2170/part217063/217063383/images/c246x328/1.webp";"Омолаживающая ампула с лизатом бифидобактерий 50 мл.";217063383;"ИП Рума";0;"0";0;0;0;"0";2750;36;1759;1723;"4,9";"4,43";18;319;0
"https://basket-17.wbbasket.ru/vol2657/part265722/265722603/images/c246x328/1.webp";"Себорегулирующая эссенция Oil Control Capsule Essence";265722603;"Live";0;"0";0;0;0;"0";1900;46;1026;1005;"5";"0";3;118;0
"https://basket-19.wbbasket.ru/vol3141/part314177/314177283/images/c246x328/1.webp";"Пенка для умывания Noni Acne Bubble Cleanser 155 мл";314177283;"ИП Усукеева";0;"0";0;0;0;"0";2200;5;2069;2027;"4,9";"0";68;12;0
"https://basket-16.wbbasket.ru/vol2569/part256945/256945053/images/c246x328/1.webp";"Восстанавливающий крем для кожи вокруг глаз, 20 мл";256945053;"ИП Андрей Ким";0;"0";0;0;0;"0";2182;40;1293;1267;"4,9";"0";14;152;0
"https://basket-16.wbbasket.ru/vol2605/part260540/260540013/images/c246x328/1.webp";"Сыворотка для лица корея Dual Barrier Boosting Serum 30ml";260540013;"ИП Абдукеримова Н М";0;"0";0;0;0;"0";2200;28;1584;1552;"0";"0";0;138;0
"https://basket-17.wbbasket.ru/vol2679/part267905/267905253/images/c246x328/1.webp";"Подтягивающий бустер-крем с ретиналем Retinal Shot";267905253;"Риска";0;"0";0;0;0;"0";2500;28;1800;1764;"4,9";"0";19;113;0
"https://basket-16.wbbasket.ru/vol2439/part243910/243910323/images/c246x328/1.webp";"Крем для лица выравнивающий тон кожи питательный";243910323;"Алимирзаев Гасан Мухтарович";0;"0";0;0;0;"0";1750;32;1176;1152;"0";"0";0;201;0
"https://basket-16.wbbasket.ru/vol2592/part259261/259261533/images/c246x328/1.webp";"Сыворотка для лица корея Dual Barrier Boosting Serum 30ml";259261533;"ИП Абдукеримова Н М";0;"0";0;0;0;"0";2200;28;1584;1552;"0";"0";0;143;0
