"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-17.wbbasket.ru/vol2708/part270864/270864982/images/c246x328/1.webp";"Очищающие пэды диски для снятия макияжа Celimax. 60 pads";270864982;"Алимирзаев Гасан Мухтарович";3150;"284287,5";3;0;0;"0";2450;57;1040;1019;"0";"0";0;105;0
"https://basket-14.wbbasket.ru/vol2186/part218614/218614937/images/c246x328/1.webp";"Сыворотка с экстрактом нони Noni Ampoule";218614937;"ИП Дин Ислам";3145;"5823,16";2;1;64;"0";2000;5;1881;1843;"4,9";"4";199;314;0
"https://basket-15.wbbasket.ru/vol2255/part225583/225583381/images/c246x328/1.webp";"Увлажняющий набор для лица спф крем + тонер";225583381;"ИП Ильясова П М";3136;"37744";1;0;0;"0";4500;34;2948;2889;"4,7";"0";13;284;0
"https://basket-16.wbbasket.ru/vol2562/part256209/256209944/images/c246x328/1.webp";"Осветляющие тонер пэды для лица, 40 шт";256209944;"ИП Ким";3114;"42350,4";3;0;0;"0";1819;24;1369;1341;"4,5";"4";4;152;0
"https://basket-14.wbbasket.ru/vol2123/part212357/212357423/images/c246x328/1.webp";"Подарочный уходовый набор масло+пенка";212357423;"Рамазанов Рамазан Меджидович";3110;"100085,45";2;0;0;"0";3000;40;1789;1753;"0";"0";0;340;0
"https://basket-15.wbbasket.ru/vol2298/part229892/229892638/images/c246x328/1.webp";"Отбеливающие пэды для тела Body Brightening Pad 60шт";229892638;"Риска";3100;"2473,89";2;0;0;"0";2200;16;1848;1811;"0";"0";0;266;0
"https://basket-14.wbbasket.ru/vol2157/part215715/215715836/images/c246x328/1.webp";"Сыворотка для лица восстанавливающая Estee Lauder";215715836;"ИП Шайх Заде С А";3048;"24086,63";3;0;0;"0";1400;28;1008;987;"5";"0";4;325;0
"https://basket-16.wbbasket.ru/vol2613/part261357/261357671/images/c246x328/1.webp";"Восстанавливающий тонер для лица с аминокислотами";261357671;"Риска";3036;"155269,71";2;0;0;"0";1999;16;1679;1645;"5";"0";67;137;0
"https://basket-18.wbbasket.ru/vol2958/part295836/295836852/images/c246x328/1.webp";"Крем для лица с церамидами";295836852;"ИП Рабаданов М З";3030;"181295";1;0;0;"0";4300;26;3142;3079;"5";"0";2;57;0
"https://basket-15.wbbasket.ru/vol2219/part221932/221932637/images/c246x328/1.webp";"Крем для лица с комплексом керамидов (укрепляющий) 50 мл";221932637;"Есболганова";3030;"11332,99";2;0;0;"0";3900;81;730;715;"3";"1";2;300;0
"https://basket-15.wbbasket.ru/vol2363/part236361/236361151/images/c246x328/1.webp";"Солнцезащитный  крем для лица SPF+ MEDIUM с ниацинамидом";236361151;"Риска";3024;"1100736";1;0;0;"0";4000;28;2880;2822;"5";"5";6;236;0
"https://basket-14.wbbasket.ru/vol2117/part211790/211790913/images/c246x328/1.webp";"Увлажняющий набор для лица крем+солнцезащитный крем спф50+";211790913;"ИП Ильясова П М";3024;"548856";1;0;0;"0";3100;25;2317;2270;"4,8";"4,5";9;342;0
"https://basket-14.wbbasket.ru/vol2140/part214022/214022463/images/c246x328/1.webp";"Очищающие пэды для лица";214022463;"Sammi Shop";3020;"49470,48";2;0;0;"0";2500;38;1533;1502;"1";"0";1;329;0
"https://basket-17.wbbasket.ru/vol2718/part271819/271819769/images/c246x328/1.webp";"Очищающая пенка с BHA-кислотой и центеллой, 150 мл";271819769;"Hottie Cosmetics";3015;"70350";4;0;0;"0";1400;42;806;789;"4,4";"3,75";10;102;0
"https://basket-17.wbbasket.ru/vol2656/part265666/265666274/images/c246x328/1.webp";"Очищающий крем против жирной кожи лица oil control cream";265666274;"Live";3001;"118706,22";3;0;0;"0";1800;48;933;914;"3";"1";5;119;0
"https://basket-17.wbbasket.ru/vol2715/part271598/271598482/images/c246x328/1.webp";"Гидрофильное масло от чёрных точек, 150 мл";271598482;"ИП Литвиненко А Д";2997;"11785,5";3;47;1159;"95,74";2205;41;1296;1270;"4,3";"5";4;100;0
