"Thumb";"Name";"SKU";"Seller";"Revenue";"Lost profit";"Sales";"Balance";"Turnover days";"Frozen stocks percent";"Base price";"Basic Sale";"Basic Sale Price";"Price with WB wallet";"Comments Valuation";"Latest rating avg";"Comments";"Days in website";"Search cpm avg"
"https://basket-17.wbbasket.ru/vol2637/part263720/263720970/images/c246x328/1.webp";"Успокаивающая маска для лица с центеллой, 5шт";263720970;"Lifecosm";111666;"0";100;161;50;"9,94";4910;77;1126;1103;"5";"4,75";25;78;250
"https://basket-10.wbbasket.ru/vol1410/part141033/141033481/images/c246x328/1.webp";"Увлажняющий крем для век и вокруг глаз антивозрастной Корея";141033481;"ИП Борисенко Елена Владимировна";109029;"0";71;103;45;"0";2748;48;1423;1394;"4,8";"4,4";96;739;274
"https://basket-18.wbbasket.ru/vol2874/part287458/287458717/images/c246x328/1.webp";"Успокаивающая лифтинг сыворотка для лица";287458717;"ООО Амрус";108130;"0";52;58;35;"0";4857;60;1927;1888;"4,7";"0";22;41;0
"https://basket-05.wbbasket.ru/vol907/part90725/90725372/images/c246x328/1.webp";"Крем-тонер для лица увлажняющий";90725372;"ООО Космос Груп";105746;"112795,73";71;27;6;"0";2890;44;1603;1570;"4,7";"4,33";85;900;0
"https://basket-18.wbbasket.ru/vol2919/part291974/291974447/images/c246x328/1.webp";"Бустер-крем подтягивающий с ретиналем";291974447;"ИП Седова Т Н";104596;"144825,23";73;0;0;"0";2190;36;1393;1365;"4,9";"0";14;20;138
"https://basket-16.wbbasket.ru/vol2496/part249632/249632832/images/c246x328/1.webp";"Осветляющая сыворотка для лица с ниацинамидом";249632832;"MD Shop";102444;"15176,89";80;24;8;"0";2300;42;1327;1300;"4,8";"3,5";350;123;350
"https://basket-16.wbbasket.ru/vol2591/part259135/259135827/images/c246x328/1.webp";"Сыворотка для лица увлажняющая антивозрастная Корея";259135827;"ИП Борисенко Елена Владимировна";100523;"63488,21";63;0;0;"0";3086;48;1598;1566;"4,9";"4,73";159;116;0
"https://basket-16.wbbasket.ru/vol2518/part251810/251810021/images/c246x328/1.webp";"Барьерный кремовый тонер Dual Barrier Creamy Toner";251810021;"Hottie Cosmetics";100470;"288851,25";74;0;0;"0";2000;26;1480;1450;"4,9";"5";37;141;0
"https://basket-05.wbbasket.ru/vol1003/part100358/100358800/images/c246x328/1.webp";"Корейский крем с экстрактом нони";100358800;"ИП Эсманов Илья Петрович";100292;"0";67;77;36;"0";4069;55;1806;1769;"4,9";"4,47";153;827;0
"https://basket-17.wbbasket.ru/vol2782/part278268/278268588/images/c246x328/1.webp";"Сыворотка для лица подтягивающая с ретинолом";278268588;"ИП Эсманов Илья Петрович";96476;"53061,8";55;6;2;"0";4000;56;1746;1711;"5";"0";20;19;400
"https://basket-13.wbbasket.ru/vol2019/part201965/201965790/images/c246x328/1.webp";"Тонер для лица увлажняющий с нони";201965790;"ООО КО Экспо";95525;"0";67;200;93;"51,5";6358;77;1458;1428;"4,9";"4,8";222;299;0
"https://basket-17.wbbasket.ru/vol2792/part279263/279263523/images/c246x328/1.webp";"Тонер Тоник увлажняющий Мист-спрей для лица";279263523;"ИП Сорокин Александр Игоревич";94668;"0";82;74;28;"0";2459;52;1164;1140;"5";"5";146;48;0
"https://basket-17.wbbasket.ru/vol2631/part263164/263164051/images/c246x328/1.webp";"Крем-бустер со спикулами и ретиналем";263164051;"ТОО Компания ЛВВ";93535;"27281,04";49;85;42;"0";3000;33;1989;1949;"4,5";"2,67";28;100;300
"https://basket-14.wbbasket.ru/vol2181/part218140/218140817/images/c246x328/1.webp";"Восстанавливающий крем для лица с церамидами";218140817;"ООО Амрус";93386;"67445,44";47;0;0;"0";4446;63;1612;1579;"4,9";"5";39;258;0
"https://basket-17.wbbasket.ru/vol2748/part274870/274870606/images/c246x328/1.webp";"Восстанавливающий крем для лица Celimax Корея 50 мл";274870606;"ИП I Like";93048;"22331,52";72;0;0;"0";2105;24;1585;1553;"5";"5";32;64;0
"https://basket-15.wbbasket.ru/vol2361/part236187/236187975/images/c246x328/1.webp";"Крем для лица антивозрастной";236187975;"ИП Эсманов Илья Петрович";91882;"0";80;153;59;"24,18";4380;73;1166;1142;"4,9";"5";153;193;0
"https://basket-16.wbbasket.ru/vol2542/part254203/254203943/images/c246x328/1.webp";"Увлажняющий набор миниатюр с нони The Real Noni Starter Kit";254203943;"Beautyko";89225;"21414";73;0;0;"0";4415;75;1078;1056;"5";"5";16;127;0
"https://basket-17.wbbasket.ru/vol2766/part276693/276693303/images/c246x328/1.webp";"Крем бустер для лица от морщин Корея";276693303;"ИП Борисенко Елена Владимировна";85349;"245378,38";48;0;0;"0";3458;49;1740;1705;"4,9";"5";43;60;0
"https://basket-14.wbbasket.ru/vol2181/part218136/218136531/images/c246x328/1.webp";"Успокаивающий тонер для лица";218136531;"ООО Амрус";85040;"0";49;48;30;"0";3793;57;1597;1565;"4,8";"5";151;258;0
"https://basket-16.wbbasket.ru/vol2587/part258789/258789510/images/c246x328/1.webp";"Увлажняющий кремовый тонер с молочной текстурой";258789510;"ИП Yergeshpayev";84823;"0";62;32;16;"0";2450;41;1428;1399;"4,9";"4,5";754;117;0
"https://basket-17.wbbasket.ru/vol2792/part279274/279274386/images/c246x328/1.webp";"Селимакс крем лосьон увлажняющий для лица";279274386;"ИП Сорокин Александр Игоревич";83376;"0";60;149;77;"41,61";3135;53;1461;1431;"5";"5";23;48;600
"https://basket-17.wbbasket.ru/vol2697/part269754/269754048/images/c246x328/1.webp";"Осветляющие тонер пэды от пигментации, акне, черных точек";269754048;"Риска";83140;"28918,26";48;37;18;"0";2400;26;1776;1740;"4,9";"5";639;78;0
"https://basket-13.wbbasket.ru/vol1950/part195013/195013639/images/c246x328/1.webp";"Нежный гель для умывания Celimax с церамидами 200 мл";195013639;"ИП Абрамова О П";81798;"0";67;45;21;"0";1890;34;1244;1219;"4,5";"3,91";26;386;0
"https://basket-17.wbbasket.ru/vol2741/part274187/274187916/images/c246x328/1.webp";"Гидрофильное масло для снятия макияжа с жожоба";274187916;"Tenderness";80651;"50937,47";95;1;0;"0";3000;66;1019;998;"4,6";"4,09";22;63;0
"https://basket-17.wbbasket.ru/vol2635/part263531/263531340/images/c246x328/1.webp";"Очищающая пенка для лица, 150 мл";263531340;"ИП Сорокин Александр Игоревич";79078;"0";111;109;30;"0";1389;48;709;694;"4,8";"4,69";764;92;0
"https://basket-13.wbbasket.ru/vol2017/part201765/201765776/images/c246x328/1.webp";"Сыворотка для лица восстанавливающая с нони";201765776;"ООО КО Экспо";78957;"0";45;47;32;"0";7117;76;1685;1651;"4,9";"5";116;299;0
"https://basket-17.wbbasket.ru/vol2792/part279269/279269186/images/c246x328/1.webp";"Тонер для лица увлажняющий Селимакс Real Noni, 150 мл";279269186;"ИП Сорокин Александр Игоревич";77322;"0";60;101;52;"13,86";2910;56;1270;1244;"4,8";"5";146;48;471
"https://basket-10.wbbasket.ru/vol1495/part149502/149502652/images/c246x328/1.webp";"Маска тканевая для лица омолаживающая  корейская 5шт";149502652;"ООО Космос Груп";77189;"14844,04";88;1;0;"0";2490;63;921;902;"4,9";"5";195;651;0
